Department (en),Learner Province (en),Date,Course Code,Course Title (en),Offering Delivery Type (en),Offering Language,Registration No Show Flag,Registration Status (en),Offering Status,Instructor Name
Department of National Defence (public servants),Alberta,2020-09-23 0:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Department of National Defence (public servants),Alberta,2020-11-18 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Isa David
Department of National Defence (public servants),British Columbia,2020-09-09 0:00,I613,Creating Engagement with Virtual Reality (I613),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Department of National Defence (public servants),Nova Scotia,2020-07-29 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Confirmed,Delivered - Normal,"Elizabeth McKeown, Jean-Marc Dupont"
Department of National Defence (public servants),Nova Scotia,2020-09-11 0:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Department of National Defence (public servants),Nova Scotia,2020-10-21 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Jean-Marc Dupont
Department of National Defence (public servants),Nova Scotia,2020-11-16 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Jean-Marc Dupont
Department of National Defence (public servants),Nova Scotia,2020-12-02 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Cancelled,Open - Normal,Richard Landry
Department of National Defence (public servants),Nova Scotia,2020-12-02 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Richard Landry
Department of National Defence (public servants),Ontario,2020-09-02 0:00,I623,Embracing the Cloud for Business Efficiency (I623),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Department of National Defence (public servants),Ontario,2020-09-05 0:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Department of National Defence (public servants),Ontario,2020-09-05 0:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Department of National Defence (public servants),Ontario,2020-09-08 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Cancelled,Delivered - Normal,Jean-Marc Dupont
Department of National Defence (public servants),Ontario,2020-09-08 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Delivered - Normal,Jean-Marc Dupont
Department of National Defence (public servants),Ontario,2020-09-22 0:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Department of National Defence (public servants),Ontario,2020-09-22 0:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Department of National Defence (public servants),Ontario,2020-09-23 0:00,I502,Best Practices for Digital Transformation (I502),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Department of National Defence (public servants),Ontario,2020-09-23 0:00,I503,Agile Project Planning (I503),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Department of National Defence (public servants),Ontario,2020-09-23 0:00,I615,Applying Virtual Assistant Technology (I615),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Department of National Defence (public servants),Ontario,2020-09-23 0:00,I633,Agile Project Scheduling and Monitoring (I633),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Department of National Defence (public servants),Ontario,2020-09-28 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Cancelled,Open - Normal,"Daniel Richer, Felicity Mulgan"
Department of National Defence (public servants),Ontario,2020-10-13 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Jean-Marc Dupont
Department of National Defence (public servants),Ontario,2020-11-06 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Richard Landry
Department of National Defence (public servants),Ontario,2020-12-02 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Richard Landry
Department of National Defence (public servants),Ontario,2020-12-15 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Elizabeth McKeown
Department of National Defence (public servants),Ontario_NCR,2020-07-06 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,English/Anglais,0,Cancelled,Open - Normal,Unknown
Department of National Defence (public servants),Ontario_NCR,2020-07-06 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Unknown
Department of National Defence (public servants),Ontario_NCR,2020-07-17 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Confirmed,Delivered - Normal,"Elizabeth McKeown, Richard Landry"
Department of National Defence (public servants),Ontario_NCR,2020-07-20 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,French/Français,0,Confirmed,Delivered - Normal,"Daniel Richer, Richard Landry"
Department of National Defence (public servants),Ontario_NCR,2020-08-11 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,French/Français,0,Cancelled - Class Cancelled,Cancelled - Normal,Unknown
Department of National Defence (public servants),Ontario_NCR,2020-08-14 0:00,I633,Agile Project Scheduling and Monitoring (I633),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Department of National Defence (public servants),Ontario_NCR,2020-08-17 0:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,French/Français,0,Confirmed,N/a,Unknown
Department of National Defence (public servants),Ontario_NCR,2020-08-18 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Cancelled,Cancelled - Normal,Unknown
Department of National Defence (public servants),Ontario_NCR,2020-08-18 0:00,I520,Big Data Fundamentals (I520),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Department of National Defence (public servants),Ontario_NCR,2020-08-27 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Cancelled,Delivered - Normal,"Elizabeth McKeown, Jean-Marc Dupont"
Department of National Defence (public servants),Ontario_NCR,2020-09-07 0:00,I557,Developing and Supporting an Agile Mind-set (I557),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Department of National Defence (public servants),Ontario_NCR,2020-09-08 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Cancelled,Cancelled - Normal,Unknown
Department of National Defence (public servants),Ontario_NCR,2020-09-08 0:00,I503,Agile Project Planning (I503),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Department of National Defence (public servants),Ontario_NCR,2020-09-08 0:00,I514,Making Data-driven Decisions (I514),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Department of National Defence (public servants),Ontario_NCR,2020-09-08 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,1,Cancelled,Delivered - Normal,Jean-Marc Dupont
Department of National Defence (public servants),Ontario_NCR,2020-09-08 0:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Department of National Defence (public servants),Ontario_NCR,2020-09-08 0:00,I623,Embracing the Cloud for Business Efficiency (I623),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Department of National Defence (public servants),Ontario_NCR,2020-09-08 0:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Department of National Defence (public servants),Ontario_NCR,2020-09-08 0:00,I632,Agile Principles and Methodologies (I632),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Department of National Defence (public servants),Ontario_NCR,2020-09-08 0:00,I633,Agile Project Scheduling and Monitoring (I633),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Department of National Defence (public servants),Ontario_NCR,2020-09-09 0:00,I502,Best Practices for Digital Transformation (I502),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Department of National Defence (public servants),Ontario_NCR,2020-09-09 0:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Department of National Defence (public servants),Ontario_NCR,2020-09-10 0:00,I524,Turning Social Intelligence into Actionable Insight (I524),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Department of National Defence (public servants),Ontario_NCR,2020-09-14 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Confirmed,Delivered - Normal,"Elizabeth McKeown, Felicity Mulgan"
Department of National Defence (public servants),Ontario_NCR,2020-09-14 0:00,I502,Best Practices for Digital Transformation (I502),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Department of National Defence (public servants),Ontario_NCR,2020-09-15 0:00,I605,Building a Culture of Design Thinking (I605),Online - Self-paced,French/Français,0,Confirmed,N/a,Unknown
Department of National Defence (public servants),Ontario_NCR,2020-09-15 0:00,I635,Cultivating Enterprise Agile (I635),Online - Self-paced,French/Français,0,Confirmed,N/a,Unknown
Department of National Defence (public servants),Ontario_NCR,2020-09-21 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,French/Français,0,Cancelled,Delivered - Normal,"Daniel Richer, Jean-Marc Dupont"
Department of National Defence (public servants),Ontario_NCR,2020-09-21 0:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Department of National Defence (public servants),Ontario_NCR,2020-09-22 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Jean-Marc Dupont
Department of National Defence (public servants),Ontario_NCR,2020-09-22 0:00,I615,Applying Virtual Assistant Technology (I615),Online - Self-paced,French/Français,0,Confirmed,N/a,Unknown
Department of National Defence (public servants),Ontario_NCR,2020-09-22 0:00,I623,Embracing the Cloud for Business Efficiency (I623),Online - Self-paced,French/Français,0,Confirmed,N/a,Unknown
Department of National Defence (public servants),Ontario_NCR,2020-09-23 0:00,I557,Developing and Supporting an Agile Mind-set (I557),Online - Self-paced,French/Français,0,Confirmed,N/a,Unknown
Department of National Defence (public servants),Ontario_NCR,2020-09-23 0:00,I630,Getting Started with Machine Learning (I630),Online - Self-paced,French/Français,0,Confirmed,N/a,Unknown
Department of National Defence (public servants),Ontario_NCR,2020-09-28 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,"Daniel Richer, Felicity Mulgan"
Department of National Defence (public servants),Ontario_NCR,2020-10-05 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,French/Français,0,Confirmed,Open - Normal,Unknown
Department of National Defence (public servants),Ontario_NCR,2020-10-09 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Richard Landry
Department of National Defence (public servants),Ontario_NCR,2020-10-13 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Jean-Marc Dupont
Department of National Defence (public servants),Ontario_NCR,2020-10-19 0:00,I602,Digital in Practice (I602),Virtual Classroom,French/Français,0,Confirmed,Open - Normal,Jean-Marc Dupont
Department of National Defence (public servants),Ontario_NCR,2020-10-21 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Cancelled,Open - Normal,Jean-Marc Dupont
Department of National Defence (public servants),Ontario_NCR,2020-10-21 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Jean-Marc Dupont
Department of National Defence (public servants),Ontario_NCR,2020-10-30 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Richard Landry
Department of National Defence (public servants),Ontario_NCR,2020-11-16 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Jean-Marc Dupont
Department of National Defence (public servants),Ontario_NCR,2020-11-18 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Isa David
Department of National Defence (public servants),Ontario_NCR,2020-11-20 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Richard Landry
Department of National Defence (public servants),Ontario_NCR,2020-12-02 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Richard Landry
Department of National Defence (public servants),Ontario_NCR,2020-12-07 0:00,I602,Digital in Practice (I602),Virtual Classroom,French/Français,0,Confirmed,Open - Normal,Isa David
Department of National Defence (public servants),Quebec,2020-09-04 0:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Department of National Defence (public servants),Quebec,2020-09-08 0:00,I623,Embracing the Cloud for Business Efficiency (I623),Online - Self-paced,French/Français,0,Confirmed,N/a,Unknown
Department of National Defence (public servants),Quebec,2020-09-14 0:00,I632,Agile Principles and Methodologies (I632),Online - Self-paced,French/Français,0,Confirmed,N/a,Unknown
Department of National Defence (public servants),Quebec,2020-09-15 0:00,I602,Digital in Practice (I602),Virtual Classroom,French/Français,0,Cancelled,Delivered - Normal,Isa David
Department of National Defence (public servants),Quebec,2020-09-15 0:00,I602,Digital in Practice (I602),Virtual Classroom,French/Français,0,Confirmed,Delivered - Normal,Isa David
Department of National Defence (public servants),Quebec,2020-10-05 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,French/Français,0,Confirmed,Open - Normal,Unknown
Department of National Defence (public servants),Quebec,2020-11-09 0:00,I602,Digital in Practice (I602),Virtual Classroom,French/Français,0,Confirmed,Open - Normal,Isa David
Department of National Defence (public servants),Québec_NCR,2020-07-06 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Unknown
Department of National Defence (public servants),Québec_NCR,2020-08-19 0:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Department of National Defence (public servants),Québec_NCR,2020-09-14 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Cancelled,Delivered - Normal,"Elizabeth McKeown, Felicity Mulgan"
Department of National Defence (public servants),Québec_NCR,2020-09-14 0:00,I632,Agile Principles and Methodologies (I632),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Department of National Defence (public servants),Québec_NCR,2020-10-05 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,French/Français,0,Confirmed,Open - Normal,Unknown
Department of Natural Resources (includes Northern Pipeline Agency),Alberta,2020-10-09 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Richard Landry
